文献,反应位置,底物,产物,中间体,催化剂,配体,溶剂,其它组分,条件（温度、时间、气氛、光源、波长等）,产率,dr,ee,er,直接从文献中抓取的提取错误,实验过程与操作顺序错误,文献中没有明确给出信息，需要模型进行推断，推断产生的错误
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry20; PDF pages: 64,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-3-(3-chloro-4-methoxyphenyl)-3-(4',6-dimethoxy-[1,1'-biphenyl]-3-yl)-butanoate (60 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: THF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,51%,,,89.5:10.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry21; PDF pages: 64,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-3-(3-chloro-4-methoxyphenyl)-3-(4',6-dimethoxy-[1,1'-biphenyl]-3-yl)-butanoate (63 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,53%,,,86:14,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry22; PDF pages: 64, 65","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: (S)-3-(4'-(tert-butyl)-6-methoxy-[1,1'-biphenyl]-3-yl)-3-(3-chloro-4-methoxyphenyl)-butanoic acid (54 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,46%,,,85.5:14.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry23; PDF pages: 65,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: (S)-4-(4'-(tert-butyl)-6-methoxy-[1,1'-biphenyl]-3-yl)-4-(3-chloro-4-methoxyphenyl)-pentanoic acid (74 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,62%,,,88.5:11.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry24; PDF pages: 66,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chloro-4-isopropoxyphenyl)-2-(6-isopropoxy-4'-methoxy-[1,1'-biphenyl]-3-yl)-propanoate (64 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,50%,,,94.5:5.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry25; PDF pages: 66, 67","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(4-butoxy-3-chlorophenyl)-2-(6-butoxy-4'-methoxy-[1,1'-biphenyl]-3-yl)-propanoate (72 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,54%,,,94.5:5.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry26; PDF pages: 67,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chloro-4-methylphenyl)-2-(4'-methoxy-6-methyl-[1,1'-biphenyl]-3-yl)-propanoate (74 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,70%,,,96.5:3.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry27; PDF pages: 68,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chloro-5-methylphenyl)-2-(4'-methoxy-5-methyl-[1,1'-biphenyl]-3-yl)-propanoate (69 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,65%,,,93.5:6.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry28; PDF pages: 68, 69","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chloro-4-methoxy-5-methylphenyl)-2-(4',6-dimethoxy-5-methyl-[1,1'-biphenyl]-3-yl)-propanoate (90 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,75%,,,98:2,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry29; PDF pages: 69,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chlorophenyl)-2-(4'-methoxy-[1,1'-biphenyl]-3-yl)-propanoate (64 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,65%,,,91.5:8.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry30; PDF pages: 69, 70","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)",step2: Ethyl (S)-2-(5-chlorobenzo[b]thiophen-3-yl)-2-(5-(4-methoxyphenyl)-benzo[b]thiophen-3-yl)-propanoate (82 mg),step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,65%,,,97.5:2.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_desymmetrization_of_indole_substrates-Entry1; PDF pages: 71, 72","step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)",step3: Methyl (S)-2-(5-chloro-1-methyl-1H-indol-3-yl)-2-(5-(4-methoxyphenyl)-1-methyl-1H-indol-3-yl)propanoate (88 mg),step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M KOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,72%,,,97:3,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_desymmetrization_of_indole_substrates-Entry2; PDF pages: 72,"step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)",step3: Methyl (S)-2-(5-chloro-1-methyl-1H-indol-3-yl)-2-(5-(4-methoxyphenyl)-1-methyl-1H-indol-3-yl)-3-methylbutanoate (35 mg),step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M KOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,27%,,,92:8,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_desymmetrization_of_indole_substrates-Entry3; PDF pages: 72, 73","step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)",step3: Ethyl (S)-2-(5-chloro-1-ethyl-1H-indol-3-yl)-2-(1-ethyl-5-(4-methoxyphenyl)-1H-indol-3-yl)-4-oxopentanoate (83 mg),step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M LiOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,58%,,,93.5:6.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_desymmetrization_of_indole_substrates-Entry4; PDF pages: 73,"step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)","step3: Ethyl (R)-2-(3-chlorophenyl)-2-methoxy-2-(4'-methoxy-[1,1'-biphenyl]-3-yl)-acetate (63 mg)",step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M KOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,61%,,,86:14,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_desymmetrization_of_indole_substrates-Entry5; PDF pages: 74,"step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)","step3: Ethyl (R)-2-(3-chloro-4-methylphenyl)-2-methoxy-2-(4'-methoxy-6-methyl-[1,1'-biphenyl]-3-yl)-acetate (58 mg)",step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M KOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,53%,,,94:6,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_desymmetrization_of_indole_substrates-Entry6; PDF pages: 74,"step1: methyl 2,2-bis(5-chloro-1-methyl-1H-indol-3-yl)-propanoate (103.5 mg, 0.25 mmol); step2: 4-methoxyphenylboronic acid (45.6 mg, 0.3 mmol)","step3: Ethyl (R)-2-(3-chloro-4-methoxyphenyl)-2-(4',6-dimethoxy-[1,1'-biphenyl]-3-yl)-2-methoxy acetate (70 mg)",step1: hydrolyzed crude product; step2: crude cross-coupled product,"step2: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step2: (R)-(2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl)-glycine",step1: THF (1.0 mL); step2: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step3: DMF (1.0 mL),"step1: 2.0 M KOH (aq.) (0.65 mL); step2: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step3: K2CO3 (138 mg, 1.0 mmol); MeI (71 mg, 0.5 mmol)",step1: temp: reflux; time: overnight; atm: N2; step2: temp: 60 °C; time: 18 h; atm: N2; step3: temp: room temperature; time: overnight; atm: N2,60%,,,94:6,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry31; PDF pages: 75,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (R)-2-acetamido-2-(3-chloro-4-methoxyphenyl)-2-(4',6-dimethoxy-[1,1'-biphenyl]-3-yl) acetate (70 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,56%,,,96:4,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry32; PDF pages: 75, 76","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (R)-2-(3-chloro-4-methylphenyl)-2-fluoro-2-(4'-methoxy-6-methyl-[1,1'-biphenyl]-3-yl) acetate (21 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,20%,,,91.5:8.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry33; PDF pages: 76,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-2-(3-chloro-4-methoxyphenyl)-2-(4',6-dimethoxy-[1,1'-biphenyl]-3-yl)acetate (55 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,50%,,,93:7,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,"GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry34; PDF pages: 76, 77","step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: (S)-2-(4'-(tert-butyl)-6-methoxy-[1,1'-biphenyl]-3-yl)-2-(3-chloro-4-methoxyphenyl)-acetic acid (50 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,46%,,,91.5:8.5,,,
amino-acid-derived-ionic-chiral-catalysts-enable-desymmetrizing-cross-coupling-to-remote-acyclic-quaternary,GeneralProcedure_suzuki_cross_coupling_desymmetrization_reactions_of_acyclic_substrates-Entry35; PDF pages: 77,"step1: 2,2-bis(3-chloro-4-methoxyphenyl)-propanoic acid 5 (88.5 mg, 0.25 mmol); 4-tert-butylphenylboronic acid 6 (53.4 mg, 0.3 mmol)","step2: Ethyl (S)-5'-(1-(3-chloro-4-methoxyphenyl)-2-ethoxy-2-oxoethyl)-2'-methoxy-[1,1'-biphenyl]-4-carboxylate (66 mg)",step1: crude coupled product,"step1: Pd2(dba)3 (2.3 mg, 0.0025 mmol)","step1: (R)2'-(dicyclohexylphosphaneyl)-2,6-diisopropoxy-5-methyl-[1,1'-biphenyl]-3-carbonyl-L-leucine",step1: 2-MeTHF (0.5 mL (premix) then 4.5 mL (reaction)); step2: DMF (1.0 mL),"step1: K3PO4 (265 mg, 1.25 mmol); H2O (0.50 mL); step2: EtI (78 mg, 0.5 mmol); K2CO3 (138 mg, 1.0 mmol)",step1: temp: room temperature then 60 °C; time: 20 min then 18 h; atm: N2; step2: temp: room temperature; time: overnight,55%,,,89.5:10.5,,,
